   RA(2000)  Dec(2000)    Flux
 h  m    s    d  m   s      Jy
00 28 52.65 +14 59 34.0   1.45
00 28 52.83 -08 03 49.1   0.65
00 28 52.90 +36 08 34.0   0.49
00 28 53.56 +48 57 22.7   0.67
00 28 54.94 -10 52 14.0   2.22
00 28 55.14 +33 07 46.9   0.72
00 28 55.14 +09 35  5.6   0.55
00 28 55.46 +10 57 31.8   1.19
00 28 55.93 -19 15 35.8   1.48
00 28 56.48 +16 58 36.7   0.81
00 28 56.69 +08 07 22.0   0.60
00 28 58.58 +47 39 45.7   0.61
00 29  0.16 +10 51 34.7   1.06
00 29  0.23 -23 41 50.5   0.81
00 29  0.26 -05 49 21.3   1.34
00 29  0.39 -12 23 13.7   1.11
00 29  1.62 +25 27 22.6   1.11
00 29  1.69 +45 27 37.8   4.10
00 29  1.97 +51 23  0.4   0.75
00 29  2.05 +34 39 24.9   1.23
00 29  4.31 +29 42  8.9   1.17
00 29  4.68 +39 13 40.9   0.55
00 29  4.93 -20 07  8.1   0.90
00 29  5.01 +08 54 26.7   1.28
00 29  5.32 +20 51 36.0   4.74
00 29  6.42 +22 38 28.5   1.32
00 29  6.55 +28 31 50.6   0.66
00 29  6.56 +08 48 33.4   0.54
00 29  7.82 -24 59 34.6   0.85
00 29  8.67 +72 18 51.8   0.39
00 29  9.00 +11 36 26.9   6.35
00 29  9.75 +34 48 31.4   0.76
00 29 12.36 -01 09 22.7   1.32
00 29 12.96 +14 07 41.5   3.04
00 29 13.25 -04 02 50.1   1.18
00 29 13.49 -07 17 35.9   0.80
00 29 13.99 -27 08 27.3   0.75
00 29 14.13 +20 44 48.1   0.48
00 29 14.32 -30 40 10.4   1.01
00 29 14.46 +07 08 49.1   0.59
00 29 14.82 +15 26 11.6   0.34
00 29 14.83 -01 36 22.2   0.95
00 29 14.86 +23 26 48.2   0.58
00 29 15.51 +18 42 47.4   1.35
00 29 17.91 +35 37 56.9   1.35
00 29 18.51 -06 05 21.1   1.18
00 29 19.69 +14 39  2.4   0.58
00 29 20.01 +32 16 53.2   1.06
00 29 21.20 -03 29 45.5   1.69
00 29 21.48 +20 14 27.4   0.59
00 29 21.48 +41 42 28.3   0.88
00 29 21.70 +42 19 34.8   0.74
00 29 22.20 +33 44 15.5   0.99
00 29 22.57 +63 03 35.2   1.30
00 29 22.65 -11 11 54.6   6.10
00 29 25.25 +61 00 44.6   6.19
00 29 25.43 +08 02 32.7   0.42
00 29 26.82 +18 24 20.4   0.77
00 29 26.96 +08 17 33.3   1.01
00 29 27.24 +79 54 48.5   0.80
00 29 27.46 +12 23 32.6   1.05
00 29 27.57 -21 07  2.8   1.08
00 29 27.57 +48 58 51.9   0.45
00 29 27.62 -07 41 58.8   2.64
00 29 27.78 -21 02 46.8   0.60
00 29 30.37 +12 25 26.2   0.66
00 29 31.83 +40 03 12.1   0.61
00 29 32.50 -08 00  7.0   0.84
00 29 34.53 -29 36 13.0   1.08
00 29 35.10 -09 01 20.3   0.77
00 29 35.48 +27 01  0.8   0.55
00 29 35.61 +19 38 56.0   1.80
00 29 35.71 +50 00 25.2   0.74
00 29 36.58 +44 22  5.4   0.55
00 29 39.89 +76 04 52.5   0.63
00 29 42.13 +48 48 31.2   2.19
00 29 42.22 +42 08  5.8   0.63
00 29 42.46 +24 29 56.9   0.70
00 29 43.17 +17 11 25.6   0.33
00 29 44.06 +39 48 35.8   0.95
00 29 44.32 -17 36 27.3   0.55
00 29 45.22 +63 58 40.0  29.29
00 29 45.35 -17 40 43.8   5.47
00 29 45.37 +05 54 38.8   0.76
00 29 45.85 -15 50 15.1   0.59
00 29 46.30 -19 19 56.5   2.06
00 29 46.78 +12 13 57.4   0.38
00 29 46.80 +12 03  5.4   0.58
00 29 47.31 +57 17 10.0   5.99
00 29 47.79 +00 44 50.1   1.23
00 29 48.48 +78 13 41.8   0.61
00 29 48.87 +40 23 10.2   0.89
00 29 50.69 +22 25 23.1   0.61
00 29 52.37 +43 35 13.9   1.10
00 29 52.56 -10 59 41.8   0.78
00 29 53.44 +46 22 24.5   0.60
00 29 54.47 +51 30 51.6   2.11
00 29 54.85 -11 51 38.8   1.08
00 29 56.83 -12 16 24.8   1.64
00 29 57.49 +12 09 39.0   0.47
00 29 57.68 -22 54 36.4   0.90
00 29 57.84 +21 25 21.5   0.42
00 29 58.00 -11 43 44.3   9.78
00 29 58.66 +25 52 24.3   1.43
00 30  0.38 -12 01 45.3   0.76
00 30  2.28 +30 55 55.7   0.56
00 30  3.49 -14 06 36.7   2.39
00 30  3.61 +14 00 57.6   0.39
00 30  4.35 +18 04  3.5   0.80
00 30  4.69 +51 28 27.5   0.95
00 30  5.28 +13 04 59.6   0.38
00 30  6.90 +16 37 13.6   0.38
00 30  7.63 +21 01 17.2   0.54
00 30  8.03 +43 35 20.6   0.45
00 30  8.73 +79 00 24.5   0.75
00 30  9.05 +26 54 45.7   0.55
00 30  9.16 +49 09  1.8   1.63
00 30  9.27 +00 17 16.8   0.82
00 30  9.41 -25 16 51.2   0.77
00 30 11.02 +11 50 27.9   0.68
00 30 11.19 -13 29 23.8   0.93
00 30 11.83 -07 11 39.9   0.93
00 30 12.08 +15 11 29.7   0.57
00 30 12.66 +05 55 21.4   0.96
00 30 13.69 +84 50 49.2   1.83
00 30 13.87 +22 29 19.0   0.80
00 30 13.98 -05 13 18.5   1.00
00 30 14.78 -10 48 43.4   0.96
00 30 15.37 +70 37 35.0   1.65
00 30 15.39 +59 12 58.1   1.33
00 30 16.05 +37 00 41.9   1.09
00 30 18.95 -21 46 28.3   0.58
00 30 19.44 +38 03 57.7   0.86
00 30 19.96 +19 25  5.7   1.37
00 30 21.73 -02 55 51.7   2.56
00 30 22.25 +38 17 17.8   2.61
00 30 23.34 +11 20 55.1   2.86
00 30 23.85 -24 12 34.1   1.57
00 30 24.23 +76 38 44.3   1.11
00 30 25.80 -07 13 24.2   0.74
00 30 25.89 +33 47 27.4   0.74
00 30 26.18 +10 58 40.4   0.91
00 30 26.69 +34 21 12.8   0.46
00 30 28.89 +28 33 28.1   2.50
00 30 30.75 +35 00 16.9   0.54
00 30 30.82 +30 02  9.4   0.62
00 30 31.05 +17 54 47.2   0.99
00 30 32.02 +18 46 40.8   2.12
00 30 32.97 +15 48 12.7   0.43
00 30 33.47 -25 20  6.8   0.62
00 30 33.65 +10 57 55.9   1.28
00 30 34.31 +43 31 46.8   0.49
00 30 34.42 -14 22 15.7   0.85
00 30 36.33 +15 32  9.6   0.42
00 30 37.19 +17 05 10.5   0.93
00 30 38.36 +04 31  3.3   0.59
00 30 38.81 -10 23 37.4   1.74
00 30 39.76 +42 37  4.0   1.11
00 30 40.93 +37 25 21.1   1.28
00 30 40.97 +05 41 42.7   0.86
00 30 41.00 +05 47 22.0   5.62
00 30 41.47 -04 26 32.6   0.88
00 30 43.53 +48 42 12.9   2.40
00 30 43.76 +59 04 21.3   2.25
00 30 43.92 -05 00 49.8   0.75
00 30 44.60 -01 52 34.2   0.87
00 30 44.71 +23 37 37.0   2.51
00 30 45.19 +34 34 21.2   0.68
00 30 46.00 +10 20 57.7   1.44
00 30 47.07 +77 34 22.2   0.66
00 30 48.49 +41 10 51.3   6.37
00 30 50.34 +34 23 52.2   2.23
00 30 51.59 +23 12 48.8   0.77
00 30 51.77 +45 21 47.1   9.02
00 30 51.89 +35 06 40.9   0.77
00 30 52.14 +34 58 36.8   0.60
00 30 52.18 +35 12 20.5   0.58
00 30 52.30 +45 00 15.8   0.56
00 30 52.57 +20 40 44.7   1.02
00 30 52.63 +03 46 11.0   1.60
00 30 54.28 +59 29 49.3   2.05
00 30 55.21 +45 10 39.6   0.50
00 30 56.95 -06 52 46.9   1.22
00 30 57.03 +28 09 32.7   2.40
00 30 57.18 -03 10 32.9   0.71
00 30 57.67 -18 54 30.6   2.09
00 30 57.95 +03 04 16.0   1.01
00 30 58.10 +01 16  4.6   2.10
00 30 58.14 +23 02 13.9   0.81
00 30 58.45 +09 07 19.6   0.75
00 30 58.51 +48 01 45.7   0.85
00 30 59.19 +26 05 42.1   0.57
00 31  0.18 +46 16 37.7   0.46
00 31  1.41 +36 24 22.9   0.65
00 31  2.01 +54 01 52.5   2.18
00 31  2.33 -12 48 33.7   1.50
00 31  2.69 -22 07 11.9   2.87
00 31  2.98 -09 12  4.0   4.38
00 31  3.44 +55 15  1.5   2.56
00 31  3.62 +14 23 28.1   0.79
00 31  4.21 +43 02 38.9   0.60
00 31  5.78 +25 10 14.2   0.72
00 31  9.27 -07 37 25.3   1.68
