Results from heasarc_nvss: NRAO VLA Sky Survey Catalog
Coordinate system:  Equatorial
lii      |bii      |flux_20_cm|flux_20_cm_error
357.33406| 41.29286|    1184.2|            37.8
 74.17531|-23.03578|    1184.3|            35.5
140.71777|-30.87558|    1184.4|            38.7
 88.45300|-48.63339|    1184.6|            41.8
 14.87307| -0.43657|    1184.7|            36.2
139.87943|-31.83848|    1185.4|            41.4
 39.53558|-38.12586|    1185.4|            35.6
249.81678|  3.74927|    1185.9|            37.2
241.06179|-75.37048|    1186.2|            35.6
236.89593|  3.81796|    1186.9|            40.0
358.94929|-62.96522|    1187.1|            41.9
 63.40925|-35.95449|    1187.2|            41.6
236.02132| 37.30467|    1188.9|            41.3
225.05776| -5.21742|    1189.3|            35.7
 68.08597|  9.15235|    1190.0|            41.1
328.27811| 37.15688|    1190.3|            37.6
 65.91211| -4.58974|    1190.9|            35.7
135.53766| 57.50783|    1191.3|            35.7
 18.07248|-27.60953|    1192.8|            35.8
193.51225|-21.64373|    1193.1|            35.8
 39.63499|-35.42478|    1193.3|            35.8
 76.98576| 33.08742|    1193.8|            35.8
225.01195| 66.00198|    1194.8|            35.8
135.04690| 48.74364|    1195.2|            35.9
118.97233|  3.27996|    1195.3|            42.2
 80.28160| -8.35291|    1195.7|            35.9
244.43316| -0.51222|    1196.8|            35.9
205.35263|-51.91140|    1197.0|            39.5
298.41580| 37.54233|    1197.7|            41.8
234.28805| 25.94039|    1198.0|            35.9
145.95190| -1.68113|    1198.2|            42.3
274.93058| 24.60955|    1198.3|            36.0
182.09773| 34.28972|    1198.3|            42.3
 46.48672| -0.25354|    1198.4|            36.6
 86.63905| 40.36085|    1198.9|            36.0
 55.55667|  2.26369|    1199.0|            36.0
249.69517| -8.94612|    1199.1|            36.0
341.96025| 36.30000|    1200.5|            36.0
  1.91473| 30.47126|    1200.9|            36.0
232.46792| 54.04729|    1201.0|            36.0
 93.99118|-18.99320|    1201.8|            36.1
111.65152| -1.83041|    1201.8|            36.7
284.56393| 22.39259|    1202.5|            42.5
359.80538|  0.34235|    1202.7|            36.6
104.71519|  3.28998|    1202.8|            36.1
150.17525|-67.78732|    1203.0|            38.9
 93.06720|-47.12991|    1203.8|            36.1
143.92345| -0.99422|    1204.0|            42.5
176.26586|-28.26351|    1204.1|            36.1
 81.64425|-41.32367|    1204.5|            39.2
124.82983| 68.10729|    1204.6|            36.1
191.72078|-15.30645|    1204.7|            36.1
 30.55859| 38.14503|    1205.1|            38.1
149.74618| 55.24774|    1206.4|            42.3
134.72558|  8.58750|    1207.4|            42.6
147.50537| 13.11712|    1207.7|            40.5
171.98238|-35.47737|    1208.7|            42.4
 88.25655| 58.31427|    1209.6|            36.3
 26.39901|-54.61166|    1209.8|            36.3
218.40479|  2.49486|    1210.0|            36.3
156.88465|-64.79323|    1211.2|            36.3
136.42354| 37.52916|    1212.5|            36.4
232.82304|-17.62261|    1213.2|            36.4
 54.08968|-24.88118|    1213.2|            36.4
 52.64534| 45.34811|    1213.5|            45.2
240.52795| 39.40647|    1213.7|            42.9
 34.25853|  0.13380|    1214.0|            39.7
350.61022| 23.35433|    1214.4|            37.2
 94.27374| 52.30625|    1215.3|            42.9
 50.39424|-66.16885|    1218.2|            36.5
151.92485|-55.60501|    1218.7|            43.1
